id_profil,statut,specialite_dominante,implication_academique,interet_contenu_pedagogique,implication_vie_etudiante,interet_evenementiel,niveau_technique_estime,aisance_numerique,style_communication,reactivite_percue,presence_numerique_visible
P01,alternance,cyber,3,3,2,1,3,3,mixte,2,1
P02,initial,mixte,2,2,3,3,2,2,informel,3,3
P03,alternance,dev,2,2,1,1,3,3,formel,2,1
P04,initial,cyber,3,3,1,1,3,2,formel,1,1
P05,initial,mixte,1,1,3,3,1,2,informel,3,3
P06,alternance,data,2,2,2,2,2,2,mixte,2,2
P07,initial,dev,3,3,1,1,3,3,formel,1,1
P08,alternance,cyber,1,1,3,3,1,1,informel,3,3
P09,initial,mixte,2,2,2,2,2,2,mixte,2,2
P10,alternance,dev,3,3,2,1,3,2,formel,2,1
P11,initial,data,1,1,3,3,1,2,informel,3,3
P12,alternance,mixte,2,2,1,1,2,2,mixte,1,1
P13,initial,cyber,3,3,3,2,3,3,formel,2,2
P14,alternance,dev,1,1,2,2,1,1,informel,2,2
P15,initial,mixte,3,3,1,1,3,2,mixte,1,1
P16,alternance,data,2,2,3,3,2,3,informel,3,3
P17,initial,cyber,1,1,1,1,1,1,formel,1,1
P18,alternance,mixte,3,3,2,2,3,3,mixte,2,2
P19,initial,dev,2,2,3,3,2,2,informel,3,3
P20,alternance,cyber,3,3,1,1,3,2,formel,1,1
P21,initial,data,1,1,2,2,1,1,mixte,2,2
P22,alternance,mixte,2,2,2,2,2,2,informel,2,2
P23,initial,dev,3,3,3,3,3,3,formel,3,3
P24,alternance,cyber,1,1,1,1,1,1,mixte,1,1
P25,initial,mixte,2,2,1,1,2,2,informel,1,1
P26,alternance,data,3,3,2,2,3,2,formel,2,2
