id_profil,statut,specialite_dominante,implication_academique,interet_contenu_pedagogique,implication_vie_etudiante,interet_evenementiel,niveau_technique_estime,aisance_numerique,style_communication,reactivite_percue,presence_numerique_visible
P01,1,0,3,3,2,1,3,3,1,2,1
P02,0,3,2,2,3,3,2,2,2,3,3
P03,1,1,2,2,1,1,3,3,0,2,1
P04,0,0,3,3,1,1,3,2,0,1,1
P05,0,3,1,1,3,3,1,2,2,3,3
P06,1,2,2,2,2,2,2,2,1,2,2
P07,0,1,3,3,1,1,3,3,0,1,1
P08,1,0,1,1,3,3,1,1,2,3,3
P09,0,3,2,2,2,2,2,2,1,2,2
P10,1,1,3,3,2,1,3,2,0,2,1
P11,0,2,1,1,3,3,1,2,2,3,3
P12,1,3,2,2,1,1,2,2,1,1,1
P13,0,0,3,3,3,2,3,3,0,2,2
P14,1,1,1,1,2,2,1,1,2,2,2
P15,0,3,3,3,1,1,3,2,1,1,1
P16,1,2,2,2,3,3,2,3,2,3,3
P17,0,0,1,1,1,1,1,1,0,1,1
P18,1,3,3,3,2,2,3,3,1,2,2
P19,0,1,2,2,3,3,2,2,2,3,3
P20,1,0,3,3,1,1,3,2,0,1,1
P21,0,2,1,1,2,2,1,1,1,2,2
P22,1,3,2,2,2,2,2,2,2,2,2
P23,0,1,3,3,3,3,3,3,0,3,3
P24,1,0,1,1,1,1,1,1,1,1,1
P25,0,3,2,2,1,1,2,2,2,1,1
P26,1,2,3,3,2,2,3,2,0,2,2
