id_profil,statut,specialite_dominante,implication_academique,interet_contenu_pedagogique,implication_vie_etudiante,interet_evenementiel,niveau_technique_estime,aisance_numerique,style_communication,reactivite_percue,presence_numerique_visible,cluster,segment_principal,score_confiance_segment,categorie_message_recommandee
P01,1,0,3,3,2,1,3,3,1,2,1,0,profil_academique,0.401,pedagogique_institutionnel
P02,0,3,2,2,3,3,2,2,2,3,3,2,profil_associatif_evenementiel,0.417,evenementiel_social
P03,1,1,2,2,1,1,3,3,0,2,1,0,profil_academique,0.351,technique_outils
P04,0,0,3,3,1,1,3,2,0,1,1,0,profil_academique,0.382,pedagogique_institutionnel
P05,0,3,1,1,3,3,1,2,2,3,3,2,profil_associatif_evenementiel,0.434,evenementiel_social
P06,1,2,2,2,2,2,2,2,1,2,2,3,profil_technique_vigilant,0.351,hybride_general
P07,0,1,3,3,1,1,3,3,0,1,1,0,profil_academique,0.405,pedagogique_institutionnel
P08,1,0,1,1,3,3,1,1,2,3,3,2,profil_associatif_evenementiel,0.351,evenementiel_social
P09,0,3,2,2,2,2,2,2,1,2,2,3,profil_technique_vigilant,0.354,hybride_general
P10,1,1,3,3,2,1,3,2,0,2,1,0,profil_academique,0.419,pedagogique_institutionnel
P11,0,2,1,1,3,3,1,2,2,3,3,2,profil_associatif_evenementiel,0.463,evenementiel_social
P12,1,3,2,2,1,1,2,2,1,1,1,3,profil_technique_vigilant,0.375,hybride_general
P13,0,0,3,3,3,2,3,3,0,2,2,0,profil_academique,0.37,pedagogique_institutionnel
P14,1,1,1,1,2,2,1,1,2,2,2,1,profil_hybride_social,0.352,informel_communautaire
P15,0,3,3,3,1,1,3,2,1,1,1,0,profil_academique,0.324,pedagogique_institutionnel
P16,1,2,2,2,3,3,2,3,2,3,3,2,profil_associatif_evenementiel,0.368,evenementiel_social
P17,0,0,1,1,1,1,1,1,0,1,1,1,profil_hybride_social,0.397,hybride_general
P18,1,3,3,3,2,2,3,3,1,2,2,0,profil_academique,0.339,pedagogique_institutionnel
P19,0,1,2,2,3,3,2,2,2,3,3,2,profil_associatif_evenementiel,0.43,evenementiel_social
P20,1,0,3,3,1,1,3,2,0,1,1,0,profil_academique,0.387,pedagogique_institutionnel
P21,0,2,1,1,2,2,1,1,1,2,2,1,profil_hybride_social,0.352,hybride_general
P22,1,3,2,2,2,2,2,2,2,2,2,3,profil_technique_vigilant,0.379,informel_communautaire
P23,0,1,3,3,3,3,3,3,0,3,3,0,profil_academique,0.303,pedagogique_institutionnel
P24,1,0,1,1,1,1,1,1,1,1,1,1,profil_hybride_social,0.419,hybride_general
P25,0,3,2,2,1,1,2,2,2,1,1,3,profil_technique_vigilant,0.363,hybride_general
P26,1,2,3,3,2,2,3,2,0,2,2,0,profil_academique,0.38,pedagogique_institutionnel
