id_profil,condition,taux_ouverture,taux_clic,taux_reponse,delai_reaction_moyen_heures
P01,generique,0.75,0.33,0.17,17.5
P01,personnalisee,0.85,0.45,0.25,12.5
P02,generique,0.84,0.42,0.23,12.2
P02,personnalisee,0.92,0.52,0.30,8.2
P03,generique,0.69,0.27,0.12,20.2
P03,personnalisee,0.78,0.38,0.20,15.7
P04,generique,0.78,0.36,0.20,15.3
P04,personnalisee,0.88,0.48,0.28,10.3
P05,generique,0.87,0.45,0.28,10.8
P05,personnalisee,0.95,0.55,0.35,6.8
P06,generique,0.73,0.31,0.14,18.6
P06,personnalisee,0.82,0.42,0.22,14.1
P07,generique,0.80,0.38,0.24,14.5
P07,personnalisee,0.90,0.50,0.32,9.5
P08,generique,0.67,0.25,0.11,22.4
P08,personnalisee,0.75,0.35,0.18,18.4
P09,generique,0.78,0.36,0.19,16.1
P09,personnalisee,0.87,0.47,0.27,11.6
P10,generique,0.83,0.41,0.25,12.9
P10,personnalisee,0.93,0.53,0.33,7.9
P11,generique,0.72,0.30,0.14,20.2
P11,personnalisee,0.80,0.40,0.21,16.2
P12,generique,0.80,0.38,0.21,15.3
P12,personnalisee,0.89,0.49,0.29,10.8
P13,generique,0.86,0.44,0.28,10.4
P13,personnalisee,0.96,0.56,0.36,5.4
P14,generique,0.69,0.27,0.12,21.3
P14,personnalisee,0.77,0.37,0.19,17.3
P15,generique,0.82,0.40,0.23,13.2
P15,personnalisee,0.91,0.51,0.31,8.7
P16,generique,0.74,0.32,0.16,18.6
P16,personnalisee,0.84,0.44,0.24,13.6
P17,generique,0.66,0.24,0.10,23.8
P17,personnalisee,0.74,0.34,0.17,19.8
P18,generique,0.77,0.35,0.18,16.6
P18,personnalisee,0.86,0.46,0.26,12.1
P19,generique,0.84,0.42,0.26,12.2
P19,personnalisee,0.94,0.54,0.34,7.2
P20,generique,0.73,0.31,0.16,19.9
P20,personnalisee,0.81,0.41,0.23,15.9
P21,generique,0.74,0.32,0.15,19.0
P21,personnalisee,0.83,0.43,0.23,14.5
P22,generique,0.69,0.27,0.12,21.8
P22,personnalisee,0.79,0.39,0.20,16.8
P23,generique,0.89,0.47,0.30,8.9
P23,personnalisee,0.97,0.57,0.37,4.9
P24,generique,0.67,0.25,0.10,23.4
P24,personnalisee,0.76,0.36,0.18,18.9
P25,generique,0.78,0.36,0.20,16.2
P25,personnalisee,0.88,0.48,0.28,11.2
P26,generique,0.82,0.40,0.25,13.8
P26,personnalisee,0.90,0.50,0.32,9.8
