id_profil,taux_ouverture,taux_clic,taux_reponse,delai_reaction_moyen_heures
P01,0.85,0.45,0.25,12.5
P02,0.92,0.52,0.30,8.2
P03,0.78,0.38,0.20,15.7
P04,0.88,0.48,0.28,10.3
P05,0.95,0.55,0.35,6.8
P06,0.82,0.42,0.22,14.1
P07,0.90,0.50,0.32,9.5
P08,0.75,0.35,0.18,18.4
P09,0.87,0.47,0.27,11.6
P10,0.93,0.53,0.33,7.9
P11,0.80,0.40,0.21,16.2
P12,0.89,0.49,0.29,10.8
P13,0.96,0.56,0.36,5.4
P14,0.77,0.37,0.19,17.3
P15,0.91,0.51,0.31,8.7
P16,0.84,0.44,0.24,13.6
P17,0.74,0.34,0.17,19.8
P18,0.86,0.46,0.26,12.1
P19,0.94,0.54,0.34,7.2
P20,0.81,0.41,0.23,15.9
P21,0.83,0.43,0.23,14.5
P22,0.79,0.39,0.20,16.8
P23,0.97,0.57,0.37,4.9
P24,0.76,0.36,0.18,18.9
P25,0.88,0.48,0.28,11.2
P26,0.90,0.50,0.32,9.8
    
